Category,Custom Name,ASIN,Country Code,Product Title,Product Review URL,Review Rating,Review Date,Reviewer URL,Reviewer Name,Reviewer ID,Review Title,Review Text,Verified Review,Variation ASIN,Deleted,Colour,Size name
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R3GAVVTOYEIWC1,5,04-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AFMQ2WUZXFFBASPLTTST7JWXVKWA,Ashesh kumar,AFMQ2WUZXFFBASPLTTST7JWXVKWA,Why did this happen? Answer: Is Amazon earning full profit in one go?,"After the lock down, you have suddenly increased the price of mobile without any notifications. Why did this happen. Do you answer me?",No,B07X1KSLBV,Not Deleted,Gamma Green,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/RTD73MN3BTLQN,5,04-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AHESSGWVVMTYKR53HAR5RXWWU5HA,Ashwani Bhardwaj,AHESSGWVVMTYKR53HAR5RXWWU5HA,Classic,Classic master piece,Yes,B07X1KSLBV,Not Deleted,Gamma Green,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2JKGJNU84SA8N,5,03-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AENBTJLV4P5BBR3COJOH6ASYDHIQ,Raja kumar,AENBTJLV4P5BBR3COJOH6ASYDHIQ,Amazing,Super,Yes,B07X2KLYS2,Not Deleted,Halo White,8+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/RHTDARJZQI1MF,5,03-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AEWRSH22Q3RH5CXOFUJ4TBIULTXA,Dhanraj chavda,AEWRSH22Q3RH5CXOFUJ4TBIULTXA,It's osem,It's very nice phone,Yes,B07X1KSLBV,Not Deleted,Gamma Green,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2KJXL1TMBJ2Y4,5,03-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AFXGJPNPWMKVKSXM25LQ7E5SXSPA,Dr. Varun,AFXGJPNPWMKVKSXM25LQ7E5SXSPA,Best,Best product,Yes,B07X1KSLBV,Not Deleted,Gamma Green,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R8IU5X4ZXG1KE,5,03-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AFV3AKS54AMDP7GUYMV3YIEVT53Q,ZUBER,AFV3AKS54AMDP7GUYMV3YIEVT53Q,Super,Super,Yes,B07X4R4F47,Not Deleted,Electric Blue,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/RGNCA9FFINKK6,5,02-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AGN4ZBKGO7ERVKLXMZGMP2T5AI7Q,arman husain,AGN4ZBKGO7ERVKLXMZGMP2T5AI7Q,Mast,Good,Yes,B07X1KSLBV,Not Deleted,Gamma Green,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/RF2RX63IT01AA,5,02-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AHDBB7TI5LWKBAQ7BJAAVD47NIWA,prashant,AHDBB7TI5LWKBAQ7BJAAVD47NIWA,Awesm mobile thanks xiomi,Best mobile phone @this price,Yes,B07X1KSLBV,Not Deleted,Gamma Green,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/RVIUA7SO6HY8A,5,02-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AHS6YHPEE5LR3GSW6FB22WELEZLQ,jaydip vaghani,AHS6YHPEE5LR3GSW6FB22WELEZLQ,good mobile,good service,Yes,B07X2KLYSF,Not Deleted,Electric Blue,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R23060522VKUO4,5,02-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AGLKWH7FHKYTU3TKEJ6ONYJAJNMQ,Baljeet singh,AGLKWH7FHKYTU3TKEJ6ONYJAJNMQ,Good product,Like,Yes,B07X1KT6LW,Not Deleted,Halo White,6+64GB
