"id","profileName","text","date","title","rating","images"
"R2IMRK230DO31Z","Poonamchoudhary","
  Good product and very fast delivery
","Reviewed in India on 15 July 2020","awesome product",5,""
"R39JPULSMPW0K0","Arun kr sahu","
  Superb Phone, Mind-blowing design, camera quality not so good.but overall fantastic phone.
","Reviewed in India on 14 July 2020","Wroth of penny, Again Buy.",4,""
"R2FUQRTLFBSAKP","Nivedita Pandey","
  Poor quality of cellphone
","Reviewed in India on 4 August 2020","Bad experience",1,""
"R2L6KPWZUIDEB1","Saddam huusain","
  Battery capacity is like 3000mh.
","Reviewed in India on 5 June 2020","Nice phone but battery life is not good",4,""
"R2CTSABDMCGSYD","Megha more","
  Best battery but screen quality is deem, why not support  more than 720p in youtube ? Daily screen pixel also deem
","Reviewed in India on 4 June 2020","Screen pixal is not good .",4,""
"R2APJ3XFM8ZL7X","Amazon Customer","
  I have received a damage product
","Reviewed in India on 30 July 2020","Rear camera is not working",1,""
"R3D19KD5MRAZ87","Rishabh","
  It's best for me
","Reviewed in India on 8 August 2020","Bestest",5,""
"R2Y1472XJUJUV9","ashawari mehta","
  Please dont buy it mine is broken
","Reviewed in India on 16 July 2020","Wrost",1,""
"R2EXARW0RW3YVR","GoutamDe","
  Very good
","Reviewed in India on 17 July 2020","I always love",5,""
"RNGU6ZHZP9JCE","Harsh","
  Really good deal
","Reviewed in India on 21 July 2020","Good",5,""
"R2UGZDIFFRBSAD","Avinash gupta","
  Very nice product
","Reviewed in India on 16 July 2020","Note 9 pro",5,""
"R5LRR1YG2LXZS","Optimus Prime","
  Just go for it
","Reviewed in India on 20 June 2020","Performance beast",4,""
"R3SC6N2NUSIO5E","Barkat","
  Awesome I had impressed by the earlier delivery then expected by AmazonAnd Redmi note 9 pro is amazing 💕😍
","Reviewed in India on 22 May 2020","Gud delivery by Amazon",5,""
"RZ4QGVTRS5RD8","chanakya sai","
  Good budget mobile if your budget limit is 14k I bought it for 13k it has 4 gb ram and 64 gb rom
","Reviewed in India on 26 June 2020","Review after 3 months of usage",5,""
"R24PP1M5A7ER0Q","saurabh","
  Best phn for me. Thank u redmi.
","Reviewed in India on 21 July 2020","Must buy this phone",5,""
"R36KUDJ526N5S5","Savita dutta","
  That's awesome ❣️❤️❤️❤️
","Reviewed in India on 31 July 2020","I m loveing it",4,""
"R2U9GZI089KVR6","PARVEZ ALAM","
  Superb mobile
","Reviewed in India on 24 March 2020","Good mobile in this price",5,""
"R2D6RYEK3PFM70","Mayank","
  Amazing product... Thanks.....
","Reviewed in India on 23 July 2020","Superhit",5,""
"R3OZB993NA614G","Alok Kumar","
  Phone is nice but front isn't good because it's give red tone on face girls highy recommend don't buy this phone
","Reviewed in India on 20 July 2020","Front camera isn't good Girls don't buy",4,"https://images-na.ssl-images-amazon.com/images/I/71DNncD11BL.jpg
https://images-na.ssl-images-amazon.com/images/I/71fiOXgZlKL.jpg"
